id,SiteNumber,SiteName,Latitude,Longitude
"1","1",PROS,46.39175309,-119.4117946
"2","10",YAKB,46.57805411,-119.7261984
"3","11",300A,46.3641715,-119.2862936
"4","12",WYEB,46.48202169,-119.3912175
"5","13",100A,46.6892,-119.55069
"6","13",100N,46.68892672,-119.5508025
"7","14",WPPS,46.47007917,-119.3446059
"8","15",FRNK,46.4172515,-119.2378376
"9","16",GABL,46.59835954,-119.4602729
"10","17",RING,46.54494,-119.2375315
"11","18",RICH,46.3007828,-119.3010791
"12","19",PFP,46.54520946,-119.6325878
"13","2",EOC,46.39227355,-119.5370163
"14","20",RMTN,46.39481827,-119.5941445
"15","21",HMS,46.56280551,-119.5992092
"16","22",PASC,46.25718514,-119.1142853
"17","23",GABW,46.61178253,-119.5579632
"18","24",100F,46.63465653,-119.4523257
"19","25",VERN,46.6410943,-119.7274568
"20","26",BENT,46.29000253,-119.6076229
"21","27",VSTA,46.21834766,-119.2012749
"22","28",SURF,45.74361,-120.2175
"23","29",100K,46.65627226,-119.5797352
"24","3",ARMY,46.48925935,-119.55122
"25","30",HAMR,46.35636841,-119.3257338
"26","4",RSPG,46.50599944,-119.7000129
"27","5",EDNA,46.58711645,-119.3975151
"28","6",200E,46.55614,-119.5215505
"29","7",200W,46.5427357,-119.6626223
"30","8",BVLY,46.75236392,-119.9436184
"31","9",FFTF,46.42954177,-119.3597285
